po_id,supplier_id,supplier_name,product_id,product_name,category,region,country,po_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,inventory_level,forecasted_demand,reorder_point,po_value,defective_units,lead_time_days,delivery_status,base_risk_level
PO0001,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2026-01-15,2026-01-29,2026-01-30,258,243,526,1134,601,686.91,0,15,Late,Medium
PO0002,SUP009,Evergreen Textiles,PRD009,Cotton Roll,Textiles,Northeast,Bangladesh,2026-01-02,2026-01-20,2026-01-21,939,836,63,1654,978,4408.69,17,19,Late,Medium
PO0003,SUP007,Summit Hardware,PRD007,Bolt Assembly,Hardware,South,Vietnam,2025-05-23,2025-06-14,2025-06-11,858,749,138,1594,777,5618.99,22,22,On Time,Medium
PO0004,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2025-02-10,2025-03-07,2025-03-08,820,771,516,1683,735,2136.09,19,26,Late,Medium
PO0005,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2026-03-20,2026-04-07,2026-04-06,413,376,1449,1427,530,1185.46,2,18,On Time,Medium
PO0006,SUP003,Zenith Metals,PRD003,Aluminum Sheet,Raw Materials,South,India,2025-03-25,2025-04-18,2025-04-17,529,464,519,1783,641,13504.73,27,24,On Time,High
PO0007,SUP006,Delta Medical Supplies,PRD006,Medical Kit,Healthcare,Midwest,Germany,2025-05-18,2025-06-06,2025-06-05,515,490,989,392,168,21915.14,3,19,On Time,Low
PO0008,SUP004,Orion Plastics,PRD004,Plastic Housing,Plastics,West,China,2026-01-18,2026-02-06,2026-02-07,897,816,1060,286,164,5684.58,29,20,Late,Medium
PO0009,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2025-11-18,2025-12-07,2025-12-07,861,812,1183,123,68,2455.31,13,19,On Time,Medium
PO0010,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2026-01-29,2026-02-19,2026-02-16,681,627,1523,639,409,2516.01,10,21,On Time,Medium
PO0011,SUP003,Zenith Metals,PRD003,Aluminum Sheet,Raw Materials,South,India,2026-03-22,2026-04-06,2026-04-04,393,313,1136,101,53,10646.68,3,15,On Time,High
PO0012,SUP001,Atlas Components,PRD008,Microcontroller,Electronics,West,USA,2025-02-27,2025-03-02,2025-03-01,570,494,225,1598,792,33619.41,6,3,On Time,Low
PO0013,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2025-03-07,2025-03-15,2025-03-24,946,941,1462,511,288,3269.68,31,17,Late,Medium
PO0014,SUP007,Summit Hardware,PRD007,Bolt Assembly,Hardware,South,Vietnam,2025-08-13,2025-08-17,2025-08-17,327,292,1184,571,300,1684.21,0,4,On Time,Medium
PO0015,SUP001,Atlas Components,PRD001,Sensor Module,Electronics,Northeast,USA,2025-12-29,2026-01-04,2026-01-03,225,209,1154,370,209,11276.99,0,6,On Time,Low
PO0016,SUP010,Pioneer Batteries,PRD010,Lithium Cell,Energy,West,South Korea,2025-05-05,2025-05-24,2025-05-24,469,339,891,1056,643,25581.39,15,19,On Time,High
PO0017,SUP001,Atlas Components,PRD001,Sensor Module,Electronics,Northeast,USA,2025-02-01,2025-02-06,2025-02-04,472,418,620,1047,444,23080.86,3,5,On Time,Low
PO0018,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2026-02-18,2026-03-07,2026-03-08,280,242,241,1643,993,994.91,8,18,Late,Medium
PO0019,SUP003,Zenith Metals,PRD003,Aluminum Sheet,Raw Materials,South,India,2025-09-06,2025-09-18,2025-09-16,856,599,981,684,326,22986.48,16,12,On Time,High
PO0020,SUP009,Evergreen Textiles,PRD009,Cotton Roll,Textiles,Northeast,Bangladesh,2025-03-21,2025-04-06,2025-04-10,199,187,167,202,106,914.76,3,20,Late,Medium
PO0021,SUP009,Evergreen Textiles,PRD009,Cotton Roll,Textiles,Northeast,Bangladesh,2025-01-30,2025-02-15,2025-02-25,219,209,1216,604,316,786.61,1,26,Late,Medium
PO0022,SUP001,Atlas Components,PRD001,Sensor Module,Electronics,Northeast,USA,2025-08-03,2025-08-11,2025-08-12,1150,1039,693,588,252,61707.55,4,9,Late,Low
PO0023,SUP003,Zenith Metals,PRD003,Aluminum Sheet,Raw Materials,South,India,2025-08-23,2025-09-10,2025-09-18,284,204,764,240,147,5973.59,3,26,Late,High
PO0024,SUP006,Delta Medical Supplies,PRD006,Medical Kit,Healthcare,Midwest,Germany,2025-03-22,2025-04-07,2025-04-08,699,660,66,1467,873,27195.06,10,17,Late,Low
PO0025,SUP005,Harbor Logistics,PRD005,Freight Service,Logistics,Northeast,USA,2026-03-26,2026-04-05,2026-04-14,398,357,466,1507,814,6788.16,3,19,Late,Low
PO0026,SUP005,Harbor Logistics,PRD005,Freight Service,Logistics,Northeast,USA,2025-05-09,2025-05-19,2025-05-16,269,255,733,1679,653,3500.91,3,10,On Time,Low
PO0027,SUP005,Harbor Logistics,PRD005,Freight Service,Logistics,Northeast,USA,2026-01-15,2026-01-18,2026-01-15,234,232,123,856,449,3192.77,2,3,On Time,Low
PO0028,SUP003,Zenith Metals,PRD003,Aluminum Sheet,Raw Materials,South,India,2025-03-07,2025-03-31,2025-04-06,161,150,260,824,481,3364.23,2,30,Late,High
PO0029,SUP007,Summit Hardware,PRD007,Bolt Assembly,Hardware,South,Vietnam,2025-05-02,2025-05-26,2025-05-26,130,115,893,1742,959,907.1,3,24,On Time,Medium
PO0030,SUP004,Orion Plastics,PRD004,Plastic Housing,Plastics,West,China,2025-03-23,2025-03-27,2025-03-24,863,847,992,816,360,5672.34,26,4,On Time,Medium
PO0031,SUP004,Orion Plastics,PRD004,Plastic Housing,Plastics,West,China,2025-01-13,2025-01-25,2025-01-22,651,591,1148,778,491,5112.08,10,12,On Time,Medium
PO0032,SUP002,Nova Packaging,PRD002,Corrugated Box,Packaging,Midwest,Mexico,2025-04-02,2025-04-12,2025-04-11,158,138,692,993,528,541.03,2,10,On Time,Medium
PO0033,SUP009,Evergreen Textiles,PRD009,Cotton Roll,Textiles,Northeast,Bangladesh,2025-07-17,2025-08-03,2025-08-10,83,77,1569,1609,886,373.41,2,24,Late,Medium
